ID,Name,author,category,language
RU-1,Наедине с собой. В чем наше благо?,"Аврелий Марк Аврелий, Эпиктет",rus tilidagi adabiyotlar,rus tili
RU-2,Загадка Эндхауза,Агата Кристи,rus tilidagi adabiyotlar,rus tili
RU-3,Зло под солнцем,Агата Кристи,rus tilidagi adabiyotlar,rus tili
RU-4,Убийство роджера экройда,Агата Кристи,rus tilidagi adabiyotlar,rus tili
RU-5,Евгений Онегин,Александр Пушкин,rus tilidagi adabiyotlar,rus tili
RU-6,Палата № 6,Антон Чехов,rus tilidagi adabiyotlar,rus tili
RU-7,"Маленький принц, Южный почтовый, Ночной полет, Планета людей",Антуан де Сент-Экзюпери,rus tilidagi adabiyotlar,rus tili
RU-8,"Маленький принц, Южный почтовый, Ночной полет, Планета людей",Антуан де Сент-Экзюпери,rus tilidagi adabiyotlar,rus tili
RU-9,Дракула,Брэм Стокер,rus tilidagi adabiyotlar,rus tili
RU-10,Дракула,Брэм Стокер,rus tilidagi adabiyotlar,rus tili
RU-11,Сто лет одиночества,Габриэль Гарсиа Маркес,rus tilidagi adabiyotlar,rus tili
RU-12,Думай медленно... Решай быстро,Даниэль Канеман,rus tilidagi adabiyotlar,rus tili
RU-13,Атомные привычки. Как приобрести хорошие привычки и избавиться от плохих,Джеймс Клир,rus tilidagi adabiyotlar,rus tili
RU-14,Гордость и предубеждение,Джейн Остен,rus tilidagi adabiyotlar,rus tili
RU-15,Чувство и чувствительность,Джейн Остин,rus tilidagi adabiyotlar,rus tili
RU-16,Время не ждет,Джек Лондон,rus tilidagi adabiyotlar,rus tili
RU-17,Мартин Иден,Джек Лондон,rus tilidagi adabiyotlar,rus tili
RU-18,1984. Скотный двор,Джордж Оруэлл,rus tilidagi adabiyotlar,rus tili
RU-19,Американская трагедия,Драйзер Теодор,rus tilidagi adabiyotlar,rus tili
RU-20,Американская трагедия,Драйзер Теодор,rus tilidagi adabiyotlar,rus tili
RU-21,Финансист,Драйзер Теодор,rus tilidagi adabiyotlar,rus tili
RU-22,Фауст,Иоганн Вольфганг Гёте,rus tilidagi adabiyotlar,rus tili
RU-23,Эффект дедлайна. 7 способов эффективно управлять временными рамками,Кристофер Кокс,rus tilidagi adabiyotlar,rus tili
RU-24,Анна Каренина,Лев Толстой,rus tilidagi adabiyotlar,rus tili
RU-25,Война и мир,Лев Толстой,rus tilidagi adabiyotlar,rus tili
RU-26,Война и мир,Лев Толстой,rus tilidagi adabiyotlar,rus tili
RU-27,Маленькие женщины,Луиза Мэй Олкотт,rus tilidagi adabiyotlar,rus tili
RU-28,Маленькие женщины книга 2,Луиза Мэй Олкотт,rus tilidagi adabiyotlar,rus tili
RU-29,Мастер и Маргарита,Михаил Булгаков,rus tilidagi adabiyotlar,rus tili
RU-30,Справочник,Мухаммедов.Ф.Е,rus tilidagi adabiyotlar,rus tili
RU-31,Одураченные случайностью. О скрытой роли шанса в бизнесе и в жизни,Нассим Николас Талеб,rus tilidagi adabiyotlar,rus tili
RU-32,Государь,Никколо Макиавелли,rus tilidagi adabiyotlar,rus tili
RU-33,Мертвые души,Николай Гоголь,rus tilidagi adabiyotlar,rus tili
RU-34,Гобсек,Оноре де Бальзак,rus tilidagi adabiyotlar,rus tili
RU-35,Портрет Дориана Грея,Оскар Уайльд,rus tilidagi adabiyotlar,rus tili
RU-36,Портрет Дориана Грея,Оскар Уайльд,rus tilidagi adabiyotlar,rus tili
RU-37,Искусство войны: вся война основана на лжи,Сунь Цзы,rus tilidagi adabiyotlar,rus tili
RU-38,Повелитель мух,Уильям Голдинг,rus tilidagi adabiyotlar,rus tili
RU-39,Повелитель мух,Уильям Голдинг,rus tilidagi adabiyotlar,rus tili
RU-40,Братья Карамазовы,Федор Достоевский,rus tilidagi adabiyotlar,rus tili
RU-41,Идиот,Федор Достоевский,rus tilidagi adabiyotlar,rus tili
RU-42,Подросток,Федор Достоевский,rus tilidagi adabiyotlar,rus tili
RU-43,Подросток,Федор Достоевский,rus tilidagi adabiyotlar,rus tili
RU-44,Большие надежды,Чарльз Диккенс,rus tilidagi adabiyotlar,rus tili
RU-45,Приключения Оливера Твиста,Чарльз Диккенс,rus tilidagi adabiyotlar,rus tili
RU-46,Грозовой перевал,Эмили Джейн Бронте,rus tilidagi adabiyotlar,rus tili
RU-47,Грозовой перевал,Эмили Джейн Бронте,rus tilidagi adabiyotlar,rus tili
RU-48,Сила воли,Келли Макгонигал,rus tilidagi adabiyotlar,rus tili
RU-49,Призраки Лексингтона,Харуки Мураками,rus tilidagi adabiyotlar,rus tili
RU-50,Клятва истоннўй валькирии,Райчел Мид,rus tilidagi adabiyotlar,rus tili
RU-51,Опыт дурака…,Мирзакарим Норбеков,rus tilidagi adabiyotlar,rus tili
RU-52,Сказки об Италии,М.Горкий,rus tilidagi adabiyotlar,rus tili
RU-53,Избранное,Э.Хемингуел,rus tilidagi adabiyotlar,rus tili
